Year,Team,Mat,Runs,Avg,SR,HS,50s/100s
2008,RCB,13,165,15.00,105.09,38,0/0
2009,RCB,16,246,22.36,112.32,50,1/0
2010,RCB,16,307,27.90,144.81,58,1/0
2011,RCB,16,557,46.41,121.08,71,4/0
2012,RCB,16,364,28.00,111.65,73*,2/0
2013,RCB,16,634,45.28,138.73,99,6/0
2014,RCB,14,359,27.61,122.10,73,2/0
2015,RCB,16,505,45.90,130.82,82*,3/0
2016,RCB,16,973,81.08,152.03,113,7/4
2017,RCB,10,308,30.80,122.22,64,4/0
2018,RCB,14,530,48.18,139.10,92*,4/0
2019,RCB,14,464,33.14,141.46,100,2/1
2020,RCB,15,466,42.36,121.35,90*,3/0
2021,RCB,15,405,28.92,119.46,72*,3/0
2022,RCB,16,341,22.73,115.99,73,2/0
2023,RCB,13,538,44.83,135.86,100,6/1
